ticker,name,sector,industry,price,collection
acw,accuride corp.,consumer goods,auto parts,wiki/acw,stocks/acw
acxm,acxiom corporation,technology,information technology services,wiki/acxm,stocks/acxm
acy,aerocentury corp.,services,rental & leasing services,na,stocks/acy
adat,authentidate holding corp.,technology,healthcare information services,na,stocks/adat
adbe,adobe systems inc.,technology,application software,wiki/adbe,stocks/adbe
adc,agree realty corp.,financial,property management,na,stocks/adc
adep,adept technology inc.,industrial goods,diversified machinery,na,stocks/adep
ades,"advanced emissions solutions, inc.",industrial goods,pollution & treatment controls,wiki/ades,stocks/ades
adi,"analog devices, inc.",technology,semiconductor - integrated circuits,wiki/adi,stocks/adi
adk,adcare health systems inc.,healthcare,long-term care facilities,na,stocks/adk
adm,archer daniels midland company,consumer goods,farm products,wiki/adm,stocks/adm
adnc,"audience, inc.",technology,semiconductor - integrated circuits,wiki/adnc,stocks/adnc
adp,"automatic data processing, inc.",technology,business software & services,wiki/adp,stocks/adp
ads,alliance data systems corporation,services,business services,wiki/ads,stocks/ads
adsk,"autodesk, inc.",technology,technical & system software,wiki/adsk,stocks/adsk
adt,the adt corporation,services,security & protection services,wiki/adt,stocks/adt
adus,addus homecare corporation,healthcare,home health care,wiki/adus,stocks/adus
adtn,adtran inc.,technology,communication equipment,wiki/adtn,stocks/adtn
advs,"advent software, inc.",technology,application software,wiki/advs,stocks/advs
ae,adams resources & energy inc.,basic materials,oil & gas refining & marketing,wiki/ae,stocks/ae
aec,associated estates realty corporation,financial,reit - residential,na,stocks/aec
aee,ameren corporation,utilities,diversified utilities,wiki/aee,stocks/aee
aegn,aegion corporation,industrial goods,heavy construction,wiki/aegn,stocks/aegn
aegr,"aegerion pharmaceuticals, inc.",healthcare,biotechnology,wiki/aegr,stocks/aegr
aehr,aehr test systems,technology,semiconductor equipment & materials,na,stocks/aehr
aeis,"advanced energy industries, inc.",technology,diversified electronics,wiki/aeis,stocks/aeis
ael,american equity investment life holding co.,financial,life insurance,wiki/ael,stocks/ael
aeo,"american eagle outfitters, inc.",services,apparel stores,wiki/aeo,stocks/aeo
aep,"american electric power co., inc.",utilities,electric utilities,wiki/aep,stocks/aep
aepi,aep industries inc.,consumer goods,rubber & plastics,wiki/aepi,stocks/aepi
aerg,"applied energetics, inc.",technology,scientific & technical instruments,na,stocks/aerg
aes,the aes corporation,utilities,electric utilities,wiki/aes,stocks/aes
aet,aetna inc.,healthcare,health care plans,wiki/aet,stocks/aet
aert,"advanced environmental recycling technologies, inc.",industrial goods,"lumber, wood production",na,stocks/aert
aeti,"american electric technologies, inc",industrial goods,industrial electrical equipment,na,stocks/aeti
af,astoria financial corporation,financial,savings & loans,wiki/af,stocks/af
aey,addvantage technologies group inc.,services,electronics wholesale,na,stocks/aey
afa,american financial group inc.,,,na,na
afam,almost family inc.,healthcare,home health care,wiki/afam,stocks/afam
afcb,athens bancshares corporation,financial,regional - southeast banks,na,stocks/afcb
afce,afc enterprises inc.,,,na,stocks/afce
affm,affirmative insurance holdings inc.,financial,property & casualty insurance,na,stocks/affm
affx,affymetrix inc.,technology,scientific & technical instruments,wiki/affx,stocks/affx
affy,"affymax, inc.",healthcare,biotechnology,na,stocks/affy
afh,"atlas financial holdings, inc.",financial,property & casualty insurance,na,stocks/afh
afg,american financial group inc.,financial,property & casualty insurance,wiki/afg,stocks/afg
afl,aflac inc.,financial,accident & health insurance,wiki/afl,stocks/afl
afm,affiliated managers group inc.,,,na,na
afop,alliance fiber optic products inc.,technology,diversified electronics,wiki/afop,stocks/afop
afsi,"amtrust financial services, inc.",financial,property & casualty insurance,wiki/afsi,stocks/afsi
agco,agco corporation,industrial goods,farm & construction machinery,wiki/agco,stocks/agco
agen,agenus inc.,healthcare,biotechnology,na,stocks/agen
agii,"argo group international holdings, ltd.",financial,property & casualty insurance,wiki/agii,stocks/agii
agiil,argo group international holdin,,,na,na
agm,federal agricultural mortgage corp.,financial,credit services,wiki/agm,stocks/agm
agn,allergan inc.,healthcare,drug manufacturers - other,wiki/agn,stocks/agn
agnc,american capital agency corp.,financial,reit - residential,na,na
ago,assured guaranty ltd.,financial,surety & title insurance,wiki/ago,stocks/ago
agncp,american capital agency corp.,,,na,na
agx,"argan, inc.",industrial goods,heavy construction,wiki/agx,stocks/agx
agys,agilysys inc.,technology,application software,wiki/agys,stocks/agys
ahc,a. h. belo corporation,services,publishing - newspapers,wiki/ahc,stocks/ahc
ahgp,"alliance holdings gp, l.p.",basic materials,nonmetallic mineral mining,na,stocks/ahgp
ahl,aspen insurance holdings ltd.,financial,property & casualty insurance,wiki/ahl,stocks/ahl
ahpi,allied healthcare products inc.,healthcare,medical appliances & equipment,na,stocks/ahpi
ahs,amn healthcare services inc.,healthcare,specialized health services,wiki/ahs,stocks/ahs
aht,"ashford hospitality trust, inc.",financial,reit - hotel/motel,na,na
ai,arlington asset investment corp.,financial,mortgage investment,wiki/ai,stocks/ai
aig,"american international group, inc.",financial,property & casualty insurance,wiki/aig,stocks/aig
aimc,altra industrial motion corp.,industrial goods,industrial electrical equipment,wiki/aimc,stocks/aimc
aiq,"alliance healthcare services, inc.",healthcare,medical laboratories & research,wiki/aiq,stocks/aiq
air,aar corp.,services,major airlines,wiki/air,stocks/air
airm,air methods corp.,healthcare,specialized health services,wiki/airm,stocks/airm
airt,air t inc.,services,air delivery & freight services,na,stocks/airt
ait,"applied industrial technologies, inc.",services,industrial equipment wholesale,wiki/ait,stocks/ait
aiv,apartment investment and management company,financial,reit - residential,wiki/aiv,stocks/aiv
aiz,assurant inc.,financial,accident & health insurance,wiki/aiz,stocks/aiz
ajg,arthur j gallagher & co.,financial,insurance brokers,wiki/ajg,stocks/ajg
akr,acadia realty trust,financial,property management,na,stocks/akr
akam,"akamai technologies, inc.",technology,internet information providers,wiki/akam,stocks/akam
akrx,"akorn, inc.",healthcare,drugs - generic,wiki/akrx,stocks/akrx
aks,ak steel holding corporation,basic materials,steel & iron,wiki/aks,stocks/aks
alb,albemarle corporation,basic materials,specialty chemicals,wiki/alb,stocks/alb
alco,alico inc.,consumer goods,farm products,wiki/alco,stocks/alco
alcs,"alco stores, inc.",services,"discount, variety stores",na,stocks/alcs
ale,"allete, inc.",utilities,diversified utilities,wiki/ale,stocks/ale
algt,allegiant travel company,services,regional airlines,wiki/algt,stocks/algt
alim,"alimera sciences, inc.",healthcare,drug manufacturers - major,wiki/alim,stocks/alim
algn,align technology inc.,healthcare,medical appliances & equipment,wiki/algn,stocks/algn
alj,"alon usa energy, inc.",basic materials,oil & gas refining & marketing,wiki/alj,stocks/alj
alk,"alaska air group, inc.",services,regional airlines,wiki/alk,stocks/alk
alks,alkermes plc,healthcare,drug delivery,wiki/alks,stocks/alks
all,the allstate corporation,,,wiki/all,stocks/all
alg,"alamo group, inc.",industrial goods,farm & construction machinery,wiki/alg,stocks/alg
alex,"alexander & baldwin, inc.",financial,real estate development,wiki/alex,stocks/alex
allb,alliance bancorp inc of pennsylvania,financial,money center banks,na,stocks/allb
alog,analogic corporation,technology,scientific & technical instruments,wiki/alog,stocks/alog
alny,"alnylam pharmaceuticals, inc.",healthcare,biotechnology,wiki/alny,stocks/alny
alr,alere inc.,healthcare,medical laboratories & research,wiki/alr,stocks/alr
alot,"astro-med, inc.",technology,computer peripherals,na,stocks/alot
alse,"alseres pharmaceuticals, inc.",healthcare,biotechnology,na,stocks/alse
alsk,alaska communications systems group inc.,technology,telecom services - domestic,na,stocks/alsk
alsn,"allison transmission holdings, inc.",consumer goods,auto parts,wiki/alsn,stocks/alsn
alti,"altair nanotechnologies, inc.",technology,diversified electronics,na,stocks/alti
alv,"autoliv, inc.",consumer goods,auto parts,na,stocks/alv
altr,altera corp.,technology,semiconductor - specialized,wiki/altr,stocks/altr
alxa,alexza pharmaceuticals inc.,healthcare,drug manufacturers - other,na,stocks/alxa
alxn,"alexion pharmaceuticals, inc.",healthcare,biotechnology,wiki/alxn,stocks/alxn
amag,"amag pharmaceuticals, inc.",healthcare,diagnostic substances,wiki/amag,stocks/amag
amat,"applied materials, inc.",technology,semiconductor equipment & materials,wiki/amat,stocks/amat
alx,alexander's inc.,financial,reit - retail,na,stocks/alx
amba,"ambarella, inc.",technology,semiconductor equipment & materials,wiki/amba,stocks/amba
ambt,ambient corporation,technology,communication equipment,na,stocks/ambt
amcc,applied micro circuits corporation,technology,semiconductor - integrated circuits,wiki/amcc,stocks/amcc
amcf,andatee china marine fuel services corporation,basic materials,oil & gas equipment & services,na,stocks/amcf
amcx,amc networks inc.,services,entertainment - diversified,wiki/amcx,stocks/amcx
amd,"advanced micro devices, inc.",technology,semiconductor - broad line,wiki/amd,stocks/amd
ame,ametek inc.,industrial goods,diversified machinery,wiki/ame,stocks/ame
amed,amedisys inc.,healthcare,home health care,wiki/amed,stocks/amed
amg,affiliated managers group inc.,financial,asset management,wiki/amg,stocks/amg
amgn,amgen inc.,healthcare,biotechnology,wiki/amgn,stocks/amgn
amic,american independence corp.,financial,accident & health insurance,na,stocks/amic
amid,"american midstream partners, lp",basic materials,oil & gas pipelines,na,stocks/amid
amin,american international industries inc.,services,business services,na,stocks/amin
amkr,"amkor technology, inc.",technology,semiconductor - integrated circuits,wiki/amkr,stocks/amkr
amnb,american national bankshares inc.,financial,regional - mid-atlantic banks,wiki/amnb,stocks/amnb
amot,allied motion technologies inc.,industrial goods,industrial electrical equipment,na,stocks/amot
amp,"ameriprise financial, inc.",financial,asset management,wiki/amp,stocks/amp
ampe,"ampio pharmaceuticals, inc.",healthcare,biotechnology,wiki/ampe,stocks/ampe
amrb,american river bankshares,financial,regional - pacific banks,na,stocks/amrb
amrc,"ameresco, inc.",services,technical services,wiki/amrc,stocks/amrc
amre,"amreit, inc.",financial,property management,na,stocks/amre
amri,albany molecular research inc.,healthcare,biotechnology,wiki/amri,stocks/amri
amrs,"amyris, inc.",basic materials,specialty chemicals,wiki/amrs,stocks/amrs
amsc,american superconductor corporation,technology,diversified electronics,wiki/amsc,stocks/amsc
amsf,"amerisafe, inc.",financial,property & casualty insurance,wiki/amsf,stocks/amsf
ams,american shared hospital services,healthcare,specialized health services,na,stocks/ams
amsg,amsurg corp.,healthcare,hospitals,wiki/amsg,stocks/amsg
amswa,"american software, inc.",technology,application software,wiki/amswa,stocks/amswa
amt,american tower corporation,financial,reit - diversified,wiki/amt,stocks/amt
amtd,td ameritrade holding corporation,financial,investment brokerage - national,wiki/amtd,stocks/amtd
amtg,"apollo residential mortgage, inc.",financial,reit - residential,na,stocks/amtg
amty,amerityre corporation,consumer goods,rubber & plastics,na,stocks/amty
amwd,american woodmark corp.,consumer goods,home furnishings & fixtures,wiki/amwd,stocks/amwd
an,autonation inc.,services,auto dealerships,wiki/an,stocks/an
anac,"anacor pharmaceuticals, inc.",healthcare,biotechnology,wiki/anac,stocks/anac
amzn,amazon.com inc.,services,catalog & mail order houses,wiki/amzn,stocks/amzn
anad,"anadigics, inc.",technology,semiconductor - integrated circuits,wiki/anad,stocks/anad
anat,american national insurance co.,financial,property & casualty insurance,wiki/anat,stocks/anat
ancb,anchor bancorp,financial,savings & loans,na,stocks/ancb
ancx,access national corporation,financial,regional - mid-atlantic banks,wiki/ancx,stocks/ancx
anda,"tecnoglass, inc.",,,na,na
andau,andina acquisition corporation,,,na,na
andaw,andina acquisition corporation,,,na,na
anen,"anaren, inc.",,,na,stocks/anen
angi,"angie's list, inc.",technology,internet software & services,wiki/angi,stocks/angi
anf,abercrombie & fitch co.,services,apparel stores,wiki/anf,stocks/anf
ango,angiodynamics inc.,healthcare,medical instruments & supplies,wiki/ango,stocks/ango
anik,anika therapeutics inc.,healthcare,biotechnology,wiki/anik,stocks/anik
anly,analysts international corp.,,,na,stocks/anly
ande,"the andersons, inc.",consumer goods,farm products,wiki/ande,stocks/ande
ann,ann inc.,services,apparel stores,wiki/ann,stocks/ann
anh,anworth mortgage asset corporation,financial,reit - diversified,na,na
anr,"alpha natural resources, inc.",basic materials,industrial metals & minerals,wiki/anr,stocks/anr
anss,"ansys, inc.",technology,application software,wiki/anss,stocks/anss
anth,"anthera pharmaceuticals, inc.",healthcare,drug manufacturers - major,na,stocks/anth
antp,phazar corp,,,na,stocks/antp
anv,allied nevada gold corp.,basic materials,gold,wiki/anv,stocks/anv
aol,aol inc.,technology,internet information providers,wiki/aol,stocks/aol
aos,ao smith corp.,industrial goods,industrial electrical equipment,wiki/aos,stocks/aos
aosl,"alpha & omega semiconductor, ltd.",technology,semiconductor - specialized,wiki/aosl,stocks/aosl
ap,ampco-pittsburgh corp.,industrial goods,diversified machinery,wiki/ap,stocks/ap
apa,apache corp.,basic materials,independent oil & gas,wiki/apa,stocks/apa
apagf,apco oil & gas international inc.,basic materials,independent oil & gas,wiki/apagf,stocks/apagf
apam,artisan partners asset management inc.,financial,asset management,wiki/apam,stocks/apam
apc,anadarko petroleum corporation,basic materials,independent oil & gas,wiki/apc,stocks/apc
apd,air products & chemicals inc.,basic materials,chemicals - major diversified,wiki/apd,stocks/apd
apei,"american public education, inc.",services,education & training services,wiki/apei,stocks/apei
apfc,american pacific corporation,,,na,stocks/apfc
aph,amphenol corporation,technology,diversified electronics,wiki/aph,stocks/aph
api,advanced photonix inc.,technology,semiconductor - integrated circuits,na,stocks/api
apo,"apollo global management, llc",financial,diversified investments,na,stocks/apo
apog,"apogee enterprises, inc.",industrial goods,general building materials,wiki/apog,stocks/apog
apl,"atlas pipeline partners, l.p.",basic materials,oil & gas pipelines,na,stocks/apl
app,"american apparel, inc.",consumer goods,textile - apparel clothing,wiki/app,stocks/app
apol,"apollo education group, inc.",services,education & training services,wiki/apol,stocks/apol
appy,"venaxis, inc.",healthcare,diagnostic substances,na,stocks/appy
apri,"apricus biosciences, inc.",healthcare,drug manufacturers - other,na,stocks/apri
apu,amerigas partners lp,utilities,gas utilities,na,stocks/apu
apt,alpha pro tech ltd.,healthcare,medical appliances & equipment,na,stocks/apt
aray,accuray incorporated,healthcare,medical appliances & equipment,wiki/aray,stocks/aray
arci,appliance recycling centers of america inc.,services,electronics stores,na,stocks/arci
aoi,"alliance one international, inc.",consumer goods,"tobacco products, other",wiki/aoi,stocks/aoi
anci,"american caresource holdings, inc.",healthcare,specialized health services,na,stocks/anci
arcp,"american realty capital properties, inc.",financial,reit - diversified,na,na
arcw,"arc group worldwide, inc.",industrial goods,metal fabrication,na,stocks/arcw
ardm,aradigm corporation,healthcare,drug delivery,na,stocks/ardm
ardna,arden group inc.,,,na,stocks/ardna
arex,"approach resources, inc.",basic materials,oil & gas drilling & exploration,wiki/arex,stocks/arex
ari,"apollo commercial real estate finance, inc.",financial,reit - diversified,na,stocks/ari
arii,"american railcar industries, inc.",services,railroads,wiki/arii,stocks/arii
arkr,ark restaurants corp.,services,restaurants,na,stocks/arkr
arl,american realty investors inc.,financial,property management,na,na
arlp,alliance resource partners lp,basic materials,industrial metals & minerals,na,stocks/arlp
arna,"arena pharmaceuticals, inc.",healthcare,biotechnology,wiki/arna,stocks/arna
aqq,american spectrum realty inc.,financial,property management,na,na
arow,arrow financial corporation,financial,regional - northeast banks,wiki/arow,stocks/arow
arp,"atlas resource partners, l.p.",basic materials,independent oil & gas,na,stocks/arp
arql,arqule inc.,healthcare,biotechnology,wiki/arql,stocks/arql
arr,"armour residential reit, inc.",financial,reit - residential,na,na
arrs,"arris group, inc.",technology,communication equipment,wiki/arrs,stocks/arrs
arry,"array biopharma, inc.",healthcare,biotechnology,wiki/arry,stocks/arry
artc,arthrocare corporation,healthcare,medical appliances & equipment,wiki/artc,stocks/artc
artna,artesian resources corp.,utilities,water utilities,wiki/artna,stocks/artna
artw,art's-way manufacturing co. inc.,industrial goods,farm & construction machinery,na,stocks/artw
are,"alexandria real estate equities, inc.",financial,reit - office,na,stocks/are
artx,arotech corporation,industrial goods,industrial electrical equipment,na,stocks/artx
arun,"aruba networks, inc.",technology,networking & communication devices,wiki/arun,stocks/arun
arw,"arrow electronics, inc.",services,electronics wholesale,wiki/arw,stocks/arw
arwr,arrowhead research corp.,healthcare,biotechnology,na,stocks/arwr
asbb,"asb bancorp, inc.",financial,regional - mid-atlantic banks,na,stocks/asbb
asbc,associated banc-corp,financial,regional - midwest banks,wiki/asbc,stocks/asbc
asbcw,associated banc-corp,,,na,na
arsd,arabian american development company,basic materials,chemicals - major diversified,wiki/arsd,stocks/arsd
asbi,ameriana bancorp,financial,savings & loans,na,stocks/asbi
asca,ameristar casinos inc.,,,na,stocks/asca
ascma,"ascent capital group, inc.",services,security & protection services,wiki/ascma,stocks/ascma
asei,american science & engineering inc.,services,security & protection services,wiki/asei,stocks/asei
arg,"airgas, inc.",basic materials,chemicals - major diversified,wiki/arg,stocks/arg
arx,aeroflex holding corp.,technology,semiconductor - integrated circuits,wiki/arx,stocks/arx
ash,ashland inc.,basic materials,chemicals - major diversified,wiki/ash,stocks/ash
asia,"asiainfo-linkage, inc.",technology,security software & services,na,stocks/asia
asna,ascena retail group inc.,services,apparel stores,wiki/asna,stocks/asna
asps,altisource portfolio solutions s.a.,services,business services,na,stocks/asps
astc,astrotech corp.,industrial goods,aerospace/defense products & services,na,stocks/astc
aste,"astec industries, inc.",industrial goods,farm & construction machinery,wiki/aste,stocks/aste
asti,"ascent solar technologies, inc.",technology,semiconductor - specialized,na,stocks/asti
asrv,"ameriserv financial, inc.",financial,regional - northeast banks,na,stocks/asrv
asur,"asure software, inc.",technology,business software & services,na,stocks/asur
asys,amtech systems inc.,technology,semiconductor equipment & materials,na,stocks/asys
atea,astea international inc.,technology,application software,na,stocks/atea
atec,"alphatec holdings, inc.",healthcare,medical instruments & supplies,wiki/atec,stocks/atec
athn,"athenahealth, inc.",technology,healthcare information services,wiki/athn,stocks/athn
athx,"athersys, inc.",healthcare,biotechnology,na,stocks/athx
atk,alliant techsystems inc.,industrial goods,aerospace/defense products & services,wiki/atk,stocks/atk
ati,allegheny technologies inc.,industrial goods,metal fabrication,wiki/ati,stocks/ati
atlc,atlanticus holdings corporation,financial,credit services,na,stocks/atlc
atmi,atmi inc.,technology,semiconductor equipment & materials,wiki/atmi,stocks/atmi
atml,atmel corporation,technology,semiconductor - broad line,wiki/atml,stocks/atml
atni,"atlantic tele-network, inc.",technology,telecom services - domestic,wiki/atni,stocks/atni
astm,"aastrom biosciences, inc.",healthcare,biotechnology,na,stocks/astm
atny,api technologies corp.,technology,semiconductor - broad line,wiki/atny,stocks/atny
ato,atmos energy corporation,utilities,gas utilities,wiki/ato,stocks/ato
atos,"atossa genetics, inc.",healthcare,diagnostic substances,na,stocks/atos
atr,"aptargroup, inc.",consumer goods,packaging & containers,wiki/atr,stocks/atr
atlo,ames national corporation,financial,regional - northeast banks,wiki/atlo,stocks/atlo
atrm,aetrium inc.,technology,semiconductor equipment & materials,na,stocks/atrm
atro,astronics corporation,industrial goods,aerospace/defense products & services,wiki/atro,stocks/atro
atrs,antares pharma inc.,healthcare,medical instruments & supplies,wiki/atrs,stocks/atrs
atrc,"atricure, inc.",healthcare,medical instruments & supplies,wiki/atrc,stocks/atrc
atu,actuant corporation,industrial goods,diversified machinery,wiki/atu,stocks/atu
atri,atrion corp.,healthcare,medical instruments & supplies,wiki/atri,stocks/atri
aro,a,services,apparel stores,wiki/aro,stocks/aro
asfi,asta funding inc.,services,business services,na,stocks/asfi
atvi,"activision blizzard, inc.",technology,multimedia & graphics software,wiki/atvi,stocks/atvi
atw,"atwood oceanics, inc.",basic materials,oil & gas drilling & exploration,wiki/atw,stocks/atw
aria,ariad pharmaceuticals inc.,healthcare,biotechnology,wiki/aria,stocks/aria
atx,costa inc.,,,na,stocks/atx
aubn,"auburn national bancorporation, inc.",financial,regional - southeast banks,na,stocks/aubn
auxl,auxilium pharmaceuticals inc.,healthcare,drug related products,wiki/auxl,stocks/auxl
ava,avista corp.,utilities,diversified utilities,wiki/ava,stocks/ava
avav,"aerovironment, inc.",industrial goods,aerospace/defense products & services,wiki/avav,stocks/avav
avb,avalonbay communities inc.,financial,reit - residential,wiki/avb,stocks/avb
aveo,"aveo pharmaceuticals, inc.",healthcare,biotechnology,wiki/aveo,stocks/aveo
avhi,"av homes, inc.",industrial goods,residential construction,wiki/avhi,stocks/avhi
avnr,"avanir pharmaceuticals, inc.",healthcare,drugs - generic,wiki/avnr,stocks/avnr
avid,"avid technology, inc.",technology,multimedia & graphics software,wiki/avid,stocks/avid
avgo,avago technologies limited,technology,semiconductor - broad line,wiki/avgo,stocks/avgo
avnw,"aviat networks, inc.",technology,communication equipment,wiki/avnw,stocks/avnw
avp,avon products inc.,consumer goods,personal products,wiki/avp,stocks/avp
avsr,avistar communications corp.,,,na,stocks/avsr
avt,"avnet, inc.",services,electronics wholesale,wiki/avt,stocks/avt
avx,avx corp.,technology,diversified electronics,wiki/avx,stocks/avx
avy,avery dennison corporation,consumer goods,business equipment,wiki/avy,stocks/avy
away,"homeaway, inc.",technology,internet information providers,wiki/away,stocks/away
awh,"allied world assurance company holdings, ag",financial,property & casualty insurance,wiki/awh,stocks/awh
awi,"armstrong world industries, inc.",industrial goods,general building materials,wiki/awi,stocks/awi
awk,"american water works company, inc.",utilities,water utilities,wiki/awk,stocks/awk
awre,"aware, inc.",technology,application software,na,stocks/awre
awx,avalon holdings corp.,industrial goods,waste management,na,stocks/awx
axas,abraxas petroleum corp.,basic materials,independent oil & gas,wiki/axas,stocks/axas
axdx,"accelerate diagnostics, inc.",healthcare,diagnostic substances,wiki/axdx,stocks/axdx
axe,anixter international inc.,services,industrial equipment wholesale,wiki/axe,stocks/axe
axl,american axle & manufacturing holdings inc.,consumer goods,auto parts,wiki/axl,stocks/axl
axll,axiall corporation,basic materials,synthetics,wiki/axll,na
axn,"aoxing pharmaceutical company, inc.",healthcare,drug manufacturers - major,na,stocks/axn
axp,american express company,financial,credit services,wiki/axp,stocks/axp
axr,amrep corporation,financial,property management,na,stocks/axr
axs,axis capital holdings limited,financial,property & casualty insurance,wiki/axs,stocks/axs
axti,axt inc.,technology,semiconductor - integrated circuits,na,stocks/axti
ayi,"acuity brands, inc.",technology,diversified electronics,wiki/ayi,stocks/ayi
azo,"autozone, inc.",services,auto parts stores,wiki/azo,stocks/azo
azpn,"aspen technology, inc.",technology,business software & services,wiki/azpn,stocks/azpn
b,barnes group inc.,industrial goods,industrial equipment & components,wiki/b,stocks/b
azz,azz incorporated,industrial goods,metal fabrication,wiki/azz,stocks/azz
ba,the boeing company,industrial goods,aerospace/defense products & services,wiki/ba,stocks/ba
baby,natus medical inc.,healthcare,medical appliances & equipment,wiki/baby,stocks/baby
bac,bank of america corporation,financial,money center banks,wiki/bac,stocks/bac
bagl,"einstein noah restaurant group, inc.",services,restaurants,wiki/bagl,stocks/bagl
bagr,"diversified restaurant holdings, inc.",services,restaurants,wiki/bagr,na
bah,booz allen hamilton holding corporation,services,management services,wiki/bah,stocks/bah
bamm,books-a-million inc.,services,"specialty retail, other",na,stocks/bamm
banf,bancfirst corporation,financial,regional - southwest banks,wiki/banf,stocks/banf
banc,"banc of california, inc.",financial,regional - pacific banks,wiki/banc,stocks/banc
banr,banner corporation,financial,regional - mid-atlantic banks,wiki/banr,stocks/banr
bas,"basic energy services, inc.",basic materials,oil & gas equipment & services,wiki/bas,stocks/bas
basi,bioanalytical systems inc.,services,research services,na,stocks/basi
bax,baxter international inc.,healthcare,medical instruments & supplies,wiki/bax,stocks/bax
bbby,bed bath & beyond inc.,services,home furnishing stores,wiki/bbby,stocks/bbby
bbg,bill barrett corp.,basic materials,oil & gas drilling & exploration,wiki/bbg,stocks/bbg
bbgi,beasley broadcast group inc.,services,broadcasting - radio,wiki/bbgi,stocks/bbgi
bbnk,bridge capital holdings,financial,regional - pacific banks,wiki/bbnk,stocks/bbnk
bbox,black box corporation,technology,networking & communication devices,wiki/bbox,stocks/bbox
bbrg,"bravo brio restaurant group, inc.",services,restaurants,wiki/bbrg,stocks/bbrg
